 n molecule, bond lenght (mean)                     , standart deviation
          60  0.88105689928821851        5.1038951437189658E-007
          61  0.88105663405003376        8.8668760531329848E-007
          62  0.88105716027762826        1.1458488595668164E-007
          63  0.88105684392135764        5.8097187035463729E-007
          64  0.88105733888912641        1.7965504079729318E-007
          65  0.88105660627354132        9.0436865488142839E-007
          66  0.88105683542214130        5.7910300483450616E-007
          67  0.88105677572394414        7.0082745683179312E-007
          68  0.88105708624238066        1.7296547154695019E-007
          69  0.88105675331407829        6.4624905065940774E-007
          70  0.88105785096908285        8.0893507492625961E-007
          71  0.88105698960488066        3.9362868357067442E-007
          72  0.88105629272211738        1.3097551401361943E-006
          73  0.88105705533626122        2.5976167566163007E-007
          74  0.88105756364879673        4.2328587014105955E-007
          75  0.88105711585035940        2.0985397010136906E-007
          76  0.88105704257111228        2.9178818969529408E-007
          77  0.88105715982379262        1.2481990004245441E-007
          78  0.88105702053546298        3.6383590882200322E-007
          79  0.88105722924962671        6.5069233515955293E-008
          80  0.88105705202521234        2.5269230991784594E-007
          81  0.88105659995025576        9.9172808861594267E-007
          82  0.88105661635278165        8.5611212499444790E-007
          83  0.88105645495294471        1.0873412966756930E-006
          84  0.88105724453972434        4.3822034000375617E-008
          85  0.88105739245461512        1.2644483050616400E-007
          86  0.88105746643036065        2.3688729689362284E-007
          87  0.88105758205449158        4.6269040315166707E-007
          88  0.88105676060619054        6.9967047015754726E-007
          89  0.88105744155217680        2.4819856390317894E-007
          90  0.88105768225742553        5.6007814964480455E-007
          91  0.88105707640073760        2.2019181521691813E-007
          92  0.88105719494150969        7.4355420507142231E-008
          93  0.88105731130897613        1.0359468301830062E-007
          94  0.88105703781562872        2.9169779880191129E-007
          95  0.88105714827068293        1.7505651414776391E-007
          96  0.88105700729496750        3.5673452360537264E-007
          97  0.88105703625254694        3.0553968898401003E-007
          98  0.88105742170864076        2.0331171900567944E-007
          99  0.88105718438075187        1.0978120245404161E-007
         100  0.88105704966718579        2.8173821915850758E-007
         101  0.88105721506209023        5.8992032972700324E-008
         102  0.88105694670332613        4.2314605433158180E-007
         103  0.88105672301670934        7.2517273176864898E-007
         104  0.88105688306700980        5.5413064087095834E-007
         105  0.88105739540339412        1.6340873787183490E-007
         106  0.88105678964428336        7.1876242356431396E-007
         107  0.88105732436614603        7.0952257153147532E-008
         108  0.88105708558608198        3.0591690369594415E-007
         109  0.88105686266205174        5.1482473019378267E-007
         110  0.88105680757779525        5.9944694879884617E-007
         111  0.88105712432826200        1.6313402180932522E-007
         112  0.88105711282087895        2.0231373597004459E-007
         113  0.88105686541086825        4.6863829961120369E-007
         114  0.88105701817477000        3.4082239262183404E-007
         115  0.88105686386854953        5.6648685064826369E-007
         116  0.88105724682418174        3.1911216708905024E-008
         117  0.88105586946303494        1.9639955601907219E-006
         118  0.88105731010698285        6.8644579040629787E-008
         119  0.88105739722891663        1.4124477289415539E-007
         120  0.88105698097102170        4.2545409072701299E-007
         121  0.88105707657708654        2.7995549953131831E-007
         122  0.88105699318412789        3.7912791348067323E-007
         123  0.88105738305500658        2.2481864706135757E-007
         124  0.88105697524435067        3.5023095305489631E-007
         125  0.88105712761221222        2.4118107131591652E-007
         126  0.88105723969806371        2.7900040992684826E-008
         127  0.88105702247671491        3.3613368956924280E-007
         128  0.88105687261649568        5.0231112989218051E-007
         129  0.88105737780294502        1.1568097086329443E-007
         130  0.88105741374071334        2.0359073438841360E-007
         131  0.88105711507355433        1.6925833290389054E-007
         132  0.88105795818957400        9.4660703802731467E-007
         133  0.88105693389267925        5.0748184218012982E-007
         134  0.88105713743214986        2.1957863737226851E-007
         135  0.88105710736091380        2.3421557944255086E-007
         136  0.88105671175189215        8.1371972084966891E-007
         137  0.88105717348417034        1.0206897983449280E-007
         138  0.88105722822752119        4.0879994960082912E-008
         139  0.88105699290836326        3.2859785065617133E-007
         140  0.88105777680248243        7.1521723834453712E-007
         141  0.88105732260427094        9.4681857476808582E-008
         142  0.88105728057448596        2.7496273429923128E-008
         143  0.88105718776145503        7.3648717172738254E-008
         144  0.88105731259800579        5.8117360309752345E-008
         145  0.88105744746522952        1.8135709270868146E-007
         146  0.88105762501884266        4.7025777110096335E-007
         147  0.88105626969974382        1.3791659133445395E-006
         148  0.88105697361951607        3.5848014199937182E-007
         149  0.88105721045808727        7.7030334192596276E-008
         150  0.88105713223266713        1.1933076833456330E-007
         151  0.88105740479689254        2.4148842510285731E-007
         152  0.88105667007882393        8.1921243482826696E-007
         153  0.88105814188279152        1.2382906057646431E-006
         154  0.88105699541287485        4.0654389644840954E-007
         155  0.88105691301194911        4.5965943235057029E-007
         156  0.88105677549953232        6.8701162673614265E-007
         157  0.88105710901792911        1.8621824304200737E-007
         158  0.88105624269265104        1.3892673126262405E-006
